date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
07/11/2019 22:25,Abuzaid657,,0,0,1,#معاناه_سكان_حطين العاب ناريه والياسمين حفريات وبدون حفريات والعاب ناريه زحححححمه يالله لاتبلانا,,,,1.19E+18,https://twitter.com/Abuzaid657/status/1192568906751320064
07/11/2019 21:39,SamarFahad__,,0,0,1,#معاناه_سكان_حطين الله لا يسامح من سمح بهذي الفعاليه يشغلون العاب نارية هالوقت!! يلا اول مره بالبداية قلتوا مادرينا ماكان مسموح وبنحاسب المتسبب نشوف ردة الفعل الحين,,,,1.19E+18,https://twitter.com/SamarFahad__/status/1192557294929747968
07/11/2019 21:39,raghad915,,1,0,0,الياسمين وصلهم الصوت روعتونا ! مين اللي مشغله مفروض يتحاسب #معاناه_سكان_حطين,,,,1.19E+18,https://twitter.com/raghad915/status/1192557180093902849
07/11/2019 21:37,totahmsj_506,,1,1,2,#معاناه_سكان_حطين ألعاب نارية بنص الليل خوش توقيت !!!!,,,,1.19E+18,https://twitter.com/totahmsj_506/status/1192556717009199106
07/11/2019 21:33,eman_0c,,1,0,6,#الألعاب_النارية #معاناة_سكان_حطين #موسم_الرياض_2019 @Turki_alalshikh هل يعقل ألعاب نارية بعد منتصف الليل؟؟!! مافكرتوا بالبيوت القريبة وصدى الصوت فيها؟!إيش وضع الأطفال وكبار السن معها؟؟! الساعة ٩ استمتعنا وقلنا مايخالف بس في وقت متأخر ١١ و١٢ ونص؟؟!وقت النوم؟! وين الذوق العام؟,,#NAME?,,1.19E+18,https://twitter.com/eman_0c/status/1192555739472179201
07/11/2019 21:33,sh3olas,,0,4,5,العاب ناريه ذا الوقت ١٢:٣٠ الليل ورجعت حليمه لعادتها القديمه !! ايش الاستخفاف في أحوال اهل الحي كبار سن واطفال نايمين ويصحون من صوت الالعاب الناريه حددتو الساعه ٩ م كل خميس هذا يكفي مايحتاج تروعونا بااوقات ثانيه خافو الله #معاناة_سكان_حطين @n_hteen,,#NAME?,,1.19E+18,https://twitter.com/sh3olas/status/1192555722183258130
07/11/2019 21:25,lbcca,,0,1,0,الحي محاصر للأسف مع كل الجهات. طيب على الأقل عربات الأكل والله قلبت شارع محمد بن سعد لمزبلة الناس تأكل و تشرب و ترمي. هذا حي سكني و فيه المرضى و الكبار و الصغار و الموظفين وش ذنبهم من الإزعاج إلى الصباح #معاناه_سكان_حطين,,,,1.19E+18,https://twitter.com/lbcca/status/1192553592827371521
05/11/2019 10:49,A5_ghadi,,0,2,1,#معاناة_سكان_حطين بسبب الزحمه فتره وبتعدي ان شالله الكلام الليله مع صوت الاغاني لاتستغرب اذا دخلت المطبخ الليله #ليلة_سهم الوضع بيكون ,,,,1.19E+18,https://twitter.com/A5_ghadi/status/1191668787420049410
05/11/2019 10:17,alohi20000,,4,1,1,#معاناة_سكان_حطين انا البارح حوالي الساعه ٢:٣٠ فجرا اسمع اصوات الموسيقى ياناس هو صحيح ولا يتهيا لي (يمكن كنت احلم)؟؟؟؟,,,,1.19E+18,https://twitter.com/alohi20000/status/1191660739255324673
04/11/2019 10:23,n3355na,AbdullahAltmemi,0,0,0,المرور للأسف لاتجدة الا وقت اغلاق الشوارع والطرقات مثل ماهو حاصل في #حي_حطين #موسم_الرياض #معاناة_سكان_حطين,,,,1.19E+18,https://twitter.com/n3355na/status/1191299918813683717
01/11/2019 16:30,omarbinsaadd,,0,0,0,#معاناة_سكان_حطين من المفترض نقل المهرجانات خارج المنطقة السكانية كما هو معمول به في دول العالم عانينا الزحام بسبب المهرجان وإغلاق الطرق بسبب المرور من يخفف معاناتنا وهل ينظر في الامر في القادم اتمنا #موسم_الرياض_2019 #النافورة_الراقصة,,,,1.19E+18,https://twitter.com/omarbinsaadd/status/1190305089543712768
29/10/2019 3:28,SsE1j8MeFSuOZY9,,0,0,0,#اعفاء #معاناه_سكان_حطين #معاناه_سكان_حطين #معاناه_سكان_حطين,,,,1.19E+18,https://twitter.com/SsE1j8MeFSuOZY9/status/1189021167979552768
28/10/2019 20:43,SsE1j8MeFSuOZY9,SsE1j8MeFSuOZY9,0,0,0,#معاناه_سكان_حطين أينكم من معاناتهم والمجاورين وسالكي الطريق الدائري والخير وتركي الأول من الرياض بارك وبوليفارد الثغر وعربات البيع في تركي الأول والخير أينكم عن إغلاق ط تركي الأول وقلبه لميدان عروض وسباق واحتفال وترفيه؟,,,,1.19E+18,https://twitter.com/SsE1j8MeFSuOZY9/status/1188919133842411522
28/10/2019 20:29,SsE1j8MeFSuOZY9,Riyadh_Rmc,1,0,0,وماذا فعلتم ل #معاناه_سكان_حطين,,,,1.19E+18,https://twitter.com/SsE1j8MeFSuOZY9/status/1188915598920765440
28/10/2019 20:25,SsE1j8MeFSuOZY9,,0,1,2,#اعفاء_تركي_ال_الشيخ_مطلب_الشعب #معاناه_سكان_حطين #معاناه_سكان_حطين #معاناه_سكان_حطين,,,,1.19E+18,https://twitter.com/SsE1j8MeFSuOZY9/status/1188914814917271552
28/10/2019 19:15,n3355na,Turki_alalshikh,0,0,0,اكيد فية حل لـ #معاناه_سكان_حطين,,,,1.19E+18,https://twitter.com/n3355na/status/1188897166569496581
